r,omega_over_varpi,domega_dr_over_varpi,region
10.605906810963553,0.0025060143949966474,-2.7748845047333926e-05,1
10.615914944459016,0.002505734689986938,-2.8146461075741912e-05,1
10.625923026370176,0.002505451014042759,-2.854268005323959e-05,1
10.635931056888985,0.0025051633811417062,-2.8937509878028315e-05,1
10.645939036206459,0.0025048718051819963,-2.9330958395979303e-05,1
10.655946964512726,0.002504576299983574,-2.9723033401313572e-05,1
10.66595484199703,0.002504276879287559,-3.011374263680535e-05,1
10.675962668847724,0.0025039735567579102,-3.0503093794626233e-05,1
10.685970445252279,0.0025036663459818698,-3.0891094516407714e-05,1
10.69597817139728,0.0025033552604696307,-3.127775239339289e-05,1
10.70598584746842,0.002503040313655003,-3.166307496708763e-05,1
10.715993473650512,0.0025027215188960783,-3.2047069729456e-05,1
10.726001050127516,0.002502398889476787,-3.242974412372899e-05,1
10.736008577082538,0.0025020724386056736,-3.281110554446457e-05,1
10.746016054697794,0.0025017421794173433,-3.3191161337693e-05,1
10.756023483154665,0.0025014081249726816,-3.35699188015413e-05,1
10.766030862633697,0.0025010702882591884,-3.394738518642003e-05,1
10.77603819331459,0.002500728682192088,-3.432356769579898e-05,1
10.786045475376218,0.002500383319614663,-3.469847348626468e-05,1
10.796052708996603,0.002500034213297697,-3.507210966765942e-05,1
10.806059894352943,0.002499681375941365,-3.544448330368035e-05,1
10.816067031621587,0.0024993248201738982,-3.581560141205829e-05,1
10.826074120978092,0.002498964558554251,-3.618547096530153e-05,1
10.836081162597194,0.0024986006035716546,-3.655409889075088e-05,1
10.846088156652797,0.0024982329676455084,-3.6921492070713346e-05,1
10.856095103318014,0.002497861663125822,-3.7287657343036066e-05,1
10.866102002765164,0.002497486702294216,-3.765260150127816e-05,1
10.87610885516577,0.0024971080973648085,-3.8016331295423735e-05,1
10.88611566069057,0.0024967258604837728,-3.8378853431935064e-05,1
10.896122419509503,0.002496340003729669,-3.87401745738805e-05,1
10.90612913179172,0.0024959505391146664,-3.910030134148503e-05,1
10.91613579770558,0.0024955574785844314,-3.945924031229501e-05,1
10.92614241741868,0.0024951608340187947,-3.9816998021862316e-05,1
10.93614899109785,0.0024947606172319725,-4.0173580963795026e-05,1
10.94615551890913,0.002494356839973566,-4.052899558988039e-05,1
10.956162001017807,0.0024939495139277845,-4.088324831061269e-05,1
10.966168437588422,0.0024935386507149992,-4.123634549535156e-05,1
10.976174828784767,0.0024931242618914107,-4.1588293472978235e-05,1
10.986181174769882,0.0024927063589502696,-4.193909853194409e-05,1
10.996187475706058,0.0024922849533222102,-4.228876692038871e-05,1
11.006193731754836,0.002491860056373807,-4.263730484664644e-05,1
11.016199943077005,0.0024914316794105718,-4.2984718479398074e-05,1
