r,m,rho,p_r,p_t,DEC_slack,circular_speed_squared
11.41,0.009680409015065825,1.5204905043967535e-05,0.0,6.4609938700291855e-09,1.5198444050097505e-05,0.0008498565234503126
11.42,0.009931378628872594,1.544944421456453e-05,0.0,6.729492673352129e-09,1.5442714721891177e-05,0.0008711630761458835
11.43,0.01018681212269191,1.569554097490108e-05,0.0,7.006694251403794e-09,1.5688534280649676e-05,0.0008928260915132876
11.44,0.010446749427270934,1.5943177933515865e-05,0.0,7.292794095979764e-09,1.5935885139419885e-05,0.0009148482349492944
11.45,0.01071123033811092,1.6192337569215982e-05,0.0,7.587989704735458e-09,1.6184749579511247e-05,0.0009372321534552669
11.46,0.010980294511581853,1.6443002234650936e-05,0.0,7.892480551247134e-09,1.643510975409969e-05,0.000959980475416469
11.47,0.011253981461072635,1.669515415984569e-05,0.0,8.206468054142192e-09,1.668694769179155e-05,0.000983095810385502
11.48,0.011532330553177553,1.6948775455694026e-05,0.0,8.530155545310111e-09,1.6940245300148717e-05,0.001006580748869897
11.49,0.011815381003918008,1.7203848117411903e-05,0.0,8.863748237203682e-09,1.71949843691747e-05,0.0010304378621237352
11.5,0.012103171874999999,1.7460354027951444e-05,0.0,9.207453189242023e-09,1.74511465747622e-05,0.0010546697019433
11.51,0.01239574207010709,1.7718274961375953e-05,0.0,9.561479273326512e-09,1.7708713482102626e-05,0.001079278800466701
11.52,0.012693130331228724,1.7977592586196317e-05,0.0,9.926037138481187e-09,1.7967666549057837e-05,0.0011042676699774216
11.53,0.012995375235023811,1.8238288468668986e-05,0.0,1.0301339174629295e-08,1.8227987129494356e-05,0.0011296388027117411
11.54,0.013302515189219549,1.8500344076056254e-05,0.0,1.0687599475518361e-08,1.8489656476580736e-05,0.001155394670670001
11.55,0.013614588429045338,1.8763740779848812e-05,0.0,1.1085033800805881e-08,1.8752655746048007e-05,0.0011815377254316556
11.56,0.013931633013701362,1.9028459858950898e-05,0.0,1.1493859537317959e-08,1.901696599941358e-05,0.0012080703979740434
11.57,0.01425368682286269,1.9294482502829146e-05,0.0,1.1914295659494911e-08,1.9282568207169652e-05,0.0012349950984949112
11.58,0.014580787553217513,1.9561789814624324e-05,0.0,1.2346562689035262e-08,1.954944325193529e-05,0.0012623142162385384
11.59,0.014912972715040393,1.9830362814227146e-05,0.0,1.2790882653752712e-08,1.9817571931573394e-05,0.001290030119325501
11.6,0.015250279628799992,2.0100182441318306e-05,0.0,1.3247479045659126e-08,2.0086934962272646e-05,0.0013181451545859965
11.61,0.015592745421801278,2.0371229558372794e-05,0.0,1.3716576778287252e-08,2.0357512981594508e-05,0.0013466616473966925
11.620000000000001,0.015940407024862213,2.0643484953629326e-05,0.0,1.4198402143267459e-08,2.062928655148606e-05,0.0013755819015210647
11.63,0.01629330116902435,2.0916929344024565e-05,0.0,1.4693182766171891e-08,2.0902236161258393e-05,0.0014049081989531468
11.64,0.01665146438229822,2.1191543378093217e-05,0.0,1.520114756164166e-08,2.1176342230531574e-05,0.0014346427997647272
11.65,0.0170149329864422,2.146730763883371e-05,0.0,1.5722526687810164e-08,2.1451585112145897e-05,0.00146478794195585
11.66,0.01738374309377568,2.1744202646539984e-05,0.0,1.6257551500038176e-08,2.1727945095039945e-05,0.0014953458413086611
11.67,0.01775793060402595,2.2022208861599846e-05,0.0,1.6806454503975178e-08,2.2005402407095872e-05,0.001526318691244511
11.68,0.01813753120120897,2.2301306687260022e-05,0.0,1.736946930796213e-08,2.228393721795206e-05,0.0015577086626843005
11.69,0.018522580350543667,2.2581476472358204e-05,0.0,1.794683057479054e-08,2.2563529641783414e-05,0.0015895179039120055
11.7,0.018913113295399967,2.2862698514022715e-05,0.0,1.8538773972833684e-08,2.2844159740049882e-05,0.0016217485404413678
11.71,0.019309165054280247,2.3144953060339663e-05,0.0,1.9145536126564873e-08,2.31258075242131e-05,0.001654402674885693
11.72,0.019710770417833767,2.342822031298794e-05,0.0,1.9767354566478064e-08,2.340845295842146e-05,0.0016874823868306894
11.73,0.020117963945905225,2.371248042984304e-05,0.0,2.0404467678428195e-08,2.369207596216461e-05,0.0017209897327104097
11.74,0.020530779964615598,2.3997713527548943e-05,0.0,2.1057114652404573e-08,2.3976656412896537e-05,0.0017549267456861157
11.75,0.020949252563476555,2.4283899684059085e-05,0.0,2.17255354307551e-08,2.426217414862833e-05,0.0017892954355281418
11.76,0.021373415592537613,2.4571018941146583e-05,0.0,2.240997065587661e-08,2.4548608970490706e-05,0.0018240977885006565
11.77,0.021803302659566228,2.485905130688367e-05,0.0,2.3110661617387292e-08,2.483594064526628e-05,0.001859335767249313
11.78,0.0222389471272607,2.514797675809128e-05,0.0,2.382785019879807e-08,2.512414890789248e-05,0.0018950113106917462
11.79,0.02268038211049561,2.543777524275831e-05,0.0,2.4561778823698203e-08,2.541321346393461e-05,0.0019311263339108643
11.8,0.023127640473600032,2.57284266824314e-05,0.0,2.531269040147248e-08,2.5703113992029928e-05,0.0019676827280509304
11.81,0.02358075482766766,2.601991097457504e-05,0.0,2.6080828272564967e-08,2.5993830146302475e-05,0.0020046823602163323
11.82,0.02403975752790022,2.631220799490313e-05,0.0,2.6866436153308213e-08,2.628534155874982e-05,0.0020421270733731235
11.83,0.024504680670982267,2.6605297599681017e-05,0.0,2.766975808033143e-08,2.6577627841600686e-05,0.00208001868625316
11.84,0.024975556092488582,2.6899159627999415e-05,0.0,2.8491038354566495e-08,2.6870668589644848e-05,0.0021183589932608966
11.85,0.025452415364323428,2.7193773904019674e-05,0.0,2.9330521484867006e-08,2.716444338253481e-05,0.0021571497643827573
11.86,0.025935289792191958,2.7489120239191373e-05,0.0,3.018845213125822e-08,2.7458931787060115e-05,0.002196392745099088
11.870000000000001,0.026424210413103402,2.7785178434441887e-05,0.0,3.106507504783347e-08,2.7754113359394055e-05,0.002236089656298618
11.88,0.026919207992905612,2.8081928282338212e-05,0.0,3.196063502531347e-08,2.80499676473129e-05,0.0022762421941953837
11.89,0.027420313023852134,2.837934956922226e-05,0.0,3.2875376833287676e-08,2.834647419238897e-05,0.002316852030248178
11.9,0.02792755572220002,2.8677422077318344e-05,0.0,3.380954516215083e-08,2.8643612532156192e-05,0.0023579208110823605
11.91,0.028440966025839384,2.8976125586814343e-05,0.0,3.4763384564753965e-08,2.894136220224959e-05,0.002399450158414079
11.92,0.028960573591954395,2.9275439877916322e-05,0.0,3.573713939778582e-08,2.9239702738518536e-05,0.0024414416689768565
11.93,0.029486407794715324,2.9575344732876736e-05,0.0,3.673105376290107e-08,2.9538613679113837e-05,0.002483896914450492
11.94,0.03001849772300193,2.987581993799686e-05,0.0,3.774537144761267e-08,2.983807456654925e-05,0.002526817441392268
11.95,0.03055687217815777,3.017684528560333e-05,0.0,3.878033586596457e-08,3.0138064949737366e-05,0.0025702047711704153
11.96,0.031101559671775615,3.0478400575999202e-05,0.0,3.983618999900167e-08,3.04385643860002e-05,0.0026140603998998186
11.97,0.031652588423513095,3.0780465619389494e-05,0.0,4.0913176335052585e-08,3.073955244305444e-05,0.0026583857983798792
11.98,0.03220998635894031,3.108302023778229e-05,0.0,4.2011536809844995e-08,3.104100870097244e-05,0.002703182412034644
11.99,0.032773781107416855,3.138604426686444e-05,0.0,4.313151274646574e-08,3.1342912754117974e-05,0.00274845166085498
12.0,0.033344000000000006,3.168951755785295e-05,0.0,4.4273344795185484e-08,3.164524421305777e-05,0.0027941949393429084
12.01,0.03392067006738324,3.199341997932198e-05,0.0,4.5437272873163066e-08,3.194798270644882e-05,0.0028404136164580174
12.02,0.03450381803786506,3.229773141900584e-05,0.0,4.6623536104046515e-08,3.225110788290179e-05,0.002887109035565919
12.030000000000001,0.03509347033534825,3.2602431785578054e-05,0.0,4.78323727574869e-08,3.255459941282057e-05,0.002934282514388754
12.04,0.03568965307736845,3.2907501010406415e-05,0.0,4.906402018857983e-08,3.285843699021784e-05,0.0029819353449576256
12.05,0.03629239207315473,3.3212919049285636e-05,0.0,5.031871477725632e-08,3.316260033450838e-05,0.0030300687935671594
12.06,0.03690171282171717,3.3518665884145234e-05,0.0,5.1596691867629175e-08,3.34670691922776e-05,0.0030786841007317705
12.07,0.03751764050996719,3.382472152473594e-05,0.0,5.28981857073231e-08,3.377182333902862e-05,0.0031277824811440816
12.08,0.03814020001086571,3.4131066010292436e-05,0.0,5.4223429386794845e-08,3.407684258090564e-05,0.003177365123635074
12.09,0.03876941588160165,3.443767941117368e-05,0.0,5.5572654778664094e-08,3.4382106756395015e-05,0.0032274331911361564
12.1,0.03940531236179998,3.474454183048123e-05,0.0,5.694609247707067e-08,3.4687595738004157e-05,0.003277987820643075
12.11,0.04004791337175897,3.505163340565498e-05,0.0,5.834397173707209e-08,3.499328943391791e-05,0.0033290301231816083
12.120000000000001,0.040697242510717144,3.5358934310047334e-05,0.0,5.976652041409945e-08,3.529916778963324e-05,0.0033805611837750796
12.129999999999999,0.04135332305514856,3.5666424754475184e-05,0.0,6.121396490348398e-08,3.56052107895717e-05,0.003432582061413557
12.14,0.042016177957089076,3.597408498875133e-05,0.0,6.26865300800762e-08,3.591139845867126e-05,0.003485093789024935
12.15,0.042685829842489094,3.628189530319323e-05,0.0,6.418443923796295e-08,3.621771086395527e-05,0.0035380973734475203
12.16,0.0433623010095976,3.658983603011198e-05,0.0,6.570791403030902e-08,3.652412811608167e-05,0.0035915937954044954
12.17,0.04404561342737354,3.689788754527934e-05,0.0,6.72571744093294e-08,3.683063037087001e-05,0.0036455840094799237
12.18,0.04473578873392659,3.720603026937485e-05,0.0,6.883243856641311e-08,3.713719783080844e-05,0.003700068944096446
12.19,0.04543284823498632,3.751424466941185e-05,0.0,7.04339228724102e-08,3.744381074653944e-05,0.003755049501494573
12.2,0.046136812902399946,3.782251126014348e-05,0.0,7.206184181809881e-08,3.775044941832538e-05,0.003810526557713579
12.21,0.046847703372658575,3.8130810605448605e-05,0.0,7.371640795484627e-08,3.805709419749376e-05,0.003866500962573964
