R,r,m,n_r,n_t,rho,p_r,p_t,Phi_unnormalized
11.32,11.306361312551788,0.001887189010343133,0.9993373122596045,1.001206284415577,1.0017502757781146e-06,1.0068831398914645e-10,4.750360202931169e-10,1.0141603957118707e-05
11.33,11.316366253348345,0.001903303396548169,0.9993400472730304,1.0012047813181746,1.0017500084116938e-06,1.0120111780197726e-10,4.746996136387917e-10,1.0289997586647174e-05
11.34,11.326371154058174,0.0019194462327603008,0.9993427681159298,1.001203284419736,1.0017497392402048e-06,1.0171083709350867e-10,4.743642047431149e-10,1.0439389333673482e-05
11.35,11.33637601482046,0.0019356175440311367,0.9993454748483226,1.0012017936915403,1.001749468266457e-06,1.022174843009372e-10,4.740297882471211e-10,1.0589777661495913e-05
11.36,11.34638083577376,0.0019518173554121413,0.9993481675298979,1.0012003091050232,1.0017491954932397e-06,1.027210717939085e-10,4.736963588231847e-10,1.0741161039011562e-05
11.370000000000001,11.356385617056022,0.001968045691954638,0.9993508462200322,1.0011988306317754,1.0017489209233384e-06,1.032216118776937e-10,4.733639111709969e-10,1.0893537940487291e-05
11.38,11.36639035880459,0.0019843025787097965,0.9993535109777908,1.0011973582435403,1.0017486445595291e-06,1.0371911679382472e-10,4.730324400215895e-10,1.1046906845559412e-05
11.39,11.376395061156206,0.002000588040728652,0.9993561618619262,1.0011958919122146,1.0017483664045827e-06,1.0421359872009424e-10,4.727019401345812e-10,1.120126623923387e-05
11.4,11.38639972424701,0.002016902103062092,0.9993587989308791,1.0011944316098467,1.0017480864612571e-06,1.0470506976949692e-10,4.723724062990255e-10,1.1356614611886122e-05
11.41,11.396404348212531,0.002033244790760859,0.9993614222427782,1.001192977308637,1.0017478047323013e-06,1.0519354199171172e-10,4.720438333327746e-10,1.1512950459261164e-05
11.42,11.406408933187704,0.002049616128875553,0.9993640318554402,1.0011915289809357,1.0017475212204507e-06,1.0567902737119604e-10,4.717162160805745e-10,1.167027228247354e-05
11.43,11.41641347930685,0.0020660161424566267,0.9993666278263694,1.0011900865992438,1.0017472359284273e-06,1.0616153782739752e-10,4.713895494174521e-10,1.1828578588007335e-05
11.44,11.426417986703717,0.00208244485655439,0.9993692102127735,1.0011886501362095,1.001746948858949e-06,1.06641085220895e-10,4.710638282457515e-10,1.198786788752628e-05
11.45,11.436422455511464,0.0020989022962190074,0.9993717790715579,1.001187219564628,1.0017466600147248e-06,1.0711768134852809e-10,4.707390474961922e-10,1.214813869793346e-05
11.46,11.446426885862648,0.002115388486500501,0.9993743344593174,1.001185794857443,1.001746369398446e-06,1.0759133794360895e-10,4.704152021274459e-10,1.2309389541485833e-05
11.47,11.456431277889251,0.0021319034524487396,0.9993768764323532,1.0011843759877421,1.0017460770127996e-06,1.0806206667825158e-10,4.700922871246541e-10,1.2471618945576996e-05
11.48,11.466435631722687,0.0021484472191134543,0.9993794050466731,1.0011829629287576,1.0017457828604639e-06,1.0852987916591297e-10,4.697702975030277e-10,1.2634825442737187e-05
11.49,11.476439947493791,0.0021650198115442283,0.9993819203579917,1.0011815556538655,1.0017454869441113e-06,1.0899478695927548e-10,4.694492283036126e-10,1.279900757063316e-05
11.5,11.486444225332828,0.002181621254790499,0.99938442242173,1.0011801541365843,1.0017451892664033e-06,1.0945680155088214e-10,4.691290745958298e-10,1.2964163872068225e-05
11.51,11.496448465369491,0.0021982515739015587,0.9993869112930158,1.001178758350575,1.0017448898299917e-06,1.099159343722896e-10,4.688098314745115e-10,1.3130292894982239e-05
11.52,11.5064526677329,0.002214910793926553,0.9993893870266833,1.0011773682696397,1.001744588637516e-06,1.1037219679533871e-10,4.684914940624421e-10,1.3297393192451605e-05
11.53,11.516456832551597,0.002231598939914483,0.9993918496772737,1.0011759838677223,1.0017442856916027e-06,1.108256001304604e-10,4.681740575082404e-10,1.3465463322689284e-05
11.54,11.526460959953583,0.0022483160369142032,0.9993942992990484,1.0011746051189045,1.0017439809948747e-06,1.1127615563112266e-10,4.678575169880536e-10,1.3634501848864743e-05
11.55,11.536465050066298,0.002265062109974424,0.9993967359459851,1.0011732319974067,1.0017436745499447e-06,1.1172387449213643e-10,4.67541867703652e-10,1.3804507339160637e-05
11.56,11.546469103016603,0.002281837184143702,0.9993991596717693,1.0011718644775884,1.0017433663594118e-06,1.1216876784944387e-10,4.672271048834871e-10,1.397547836688121e-05
11.57,11.556473118930828,0.0022986412844704564,0.9994015705298102,1.0011705025339446,1.0017430564258674e-06,1.1261084677990659e-10,4.669132237803629e-10,1.4147413510246605e-05
11.58,11.566477097934754,0.0023154744360029548,0.9994039685732411,1.0011691461411063,1.001742744751897e-06,1.1305012230554081e-10,4.66600219676094e-10,1.4320311352392573e-05
11.59,11.576481040153615,0.00233233666378932,0.9994063538549197,1.0011677952738396,1.00174243134008e-06,1.1348660539118804e-10,4.662880878764239e-10,1.4494170481370513e-05
11.6,11.586484945712105,0.0023492279928775265,0.9994087264274273,1.0011664499070443,1.0017421161929848e-06,1.1392030694578561e-10,4.659768237122952e-10,1.4668989490147456e-05
11.61,11.596488814734373,0.0023661484483154032,0.9994110863430693,1.001165110015754,1.0017417993131695e-06,1.1435123781982556e-10,4.656664225415437e-10,1.4844766976606079e-05
